,domain,url,urlType,T_totalTweets,T_totalRetweets,T_totalLikes,T_totalReplies,T_span,T_countWeekDay,T_countWeekEnd,T_countMonday,T_countTuesday,T_countWednesday,T_countThursday,T_countFriday,T_countSaturday,T_countSunday,T_avgTimeBetweenTweets,T_avgTimeOfNextTweet,T_timeAbsBin1count0to6,T_timeAbsBin2count6to12,T_timeAbsBin3count12to18,T_timeAbsBin4count18to24,T_timeAbsBin5count24plus,T_avgTweetsPerUniqUser,T_normTotalTweets,T_normTotalRetweets,T_normTotalLikes,T_normTotalReplies,T_normCountWeekDay,T_normCountWeekEnd,T_normCountMonday,T_normCountTuesday,T_normCountWednesday,T_normCountThursday,T_normCountFriday,T_normCountSaturday,T_normCountSunday,T_normAvgTweetsPerUniqUser,T_normTimeAbsBin1count0to6,T_normTimeAbsBin2count6to12,T_normTimeAbsBin3count12to18,T_normTimeAbsBin4count18to24,T_normTimeAbsBin5count24plus,T_normSpan,T_normAvgTimeBetweenTweets,T_normAvgTimeOfNextTweet,T_normPercentWeekDayByTotalTweets,T_normPercentWeekEndByTotalTweets,T_normPercentMondayByTotalTweets,T_normPercentTuesdayByTotalTweets,T_normPercentWednesdayByTotalTweets,T_normPercentThursdayByTotalTweets,T_normPercentFridayByTotalTweets,T_normPercentSaturdayByTotalTweets,T_normPercentSundayByTotalTweets
0,www.texaspolicy.com,https://www.texaspolicy.com/multimedia/article/ending-the-border-crisis-urgent-solutions-from-washington-and-texas,fake,9,48,85,18,49.71666667,8,1,0,0,0,8,0,1,0,6.214583332999999,7.65625,8,0,0,0,1,1.125,0.007490637,0.021201413,0.043213015,0.04,0.01048951,0.004347826,0.0,0.0,0.0,0.086956522,0.0,0.010638298,0.0,0.25,0.8888888890000001,0.0,0,0.0,0.111111111,0.0,0.0,0.0,0.8888888890000001,0.111111111,0.0,0.0,0.0,0.8888888890000001,0.0,0.111111111,0.0
1,jis.gov.jm,https://jis.gov.jm/president-trump-underscores-us-jamaica-relations/,fake,3,0,0,0,3336.316667,3,0,1,1,1,0,0,0,0,1668.158333,1679.5583329999995,1,0,0,1,1,1.5,0.0,0.0,0.0,0.0,0.001748252,0.0,0.004048583,0.01369863,0.010869565,0.0,0.0,0.0,0.0,1.0,0.333333333,0.0,0,0.333333333,0.333333333,0.080893655,0.21628012,0.120727428,1.0,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0
2,www.breitbart.com,https://www.breitbart.com/local/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/,fake,3,1,1,1,5253.983333,2,1,1,0,0,0,1,0,1,2626.991667,3588.108333,1,0,0,0,2,1.0,0.0,0.000441696,0.000508388,0.0022222220000000003,0.0,0.004347826,0.004048583,0.0,0.0,0.0,0.013333333,0.0,0.007352941,0.0,0.333333333,0.0,0,0.0,0.666666667,0.128093517,0.34105966600000004,0.258543114,0.666666667,0.333333333,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.333333333
3,www.politico.com,https://www.politico.com/story/2017/05/09/trump-presidents-carter-bush-clinton-238125,fake,3,1,9,0,15380.86667,2,1,1,0,0,1,0,0,1,7690.433333,13856.225,1,0,0,0,2,1.0,0.0,0.000441696,0.004575496,0.0,0.0,0.004347826,0.004048583,0.0,0.0,0.010869565,0.0,0.0,0.007352941,0.0,0.333333333,0.0,0,0.0,0.666666667,0.377348251,1.0,1.0,0.666666667,0.333333333,0.333333333,0.0,0.0,0.333333333,0.0,0.0,0.333333333
4,www.law.cornell.edu,https://www.law.cornell.edu/constitution-conan/amendment-25#amdt25_hd1,Reliable ,14,3,10,4,10500.53333,10,4,1,2,0,3,4,3,1,807.7333332999998,5177.987179,1,0,0,0,13,1.076923077,0.013732834,0.001325088,0.005083884,0.008888889,0.013986014,0.017391304,0.004048583,0.02739726,0.0,0.032608696,0.053333333,0.031914894,0.007352941,0.153846154,0.071428571,0.0,0,0.0,0.928571429,0.257227761,0.104307123,0.373347674,0.7142857140000001,0.28571428600000004,0.071428571,0.14285714300000002,0.0,0.214285714,0.28571428600000004,0.214285714,0.071428571
5,https://www.washingtonpost.com,https://www.washingtonpost.com/news/the-fix/wp/2016/02/11/transcript-the-democratic-debate-in-milwaukee-annotated/,Reliable ,77,9,12,8,30007.35,66,11,5,0,4,1,56,7,4,394.8335526,6343.960307,3,1,0,0,73,1.132352941,0.092384519,0.003975265,0.006100660999999999,0.017777778,0.111888112,0.047826087,0.020242915,0.0,0.043478261,0.010869565,0.7466666670000001,0.074468085,0.029411765,0.264705882,0.038961039,0.012987013,0,0.0,0.948051948,0.737352418,0.050573647,0.45754216,0.857142857,0.14285714300000002,0.064935065,0.0,0.051948052,0.012987013,0.727272727,0.090909091,0.051948052
6,https://abcnews.go.com,http://abcnews.go.com/Politics/memory-lapse-trump-seeks-distance-advisor-past-ties/story?id=34600826,Reliable ,804,2264,1967,450,36310.21667,574,230,247,73,92,92,70,94,136,45.21820257,6701.372333,38,18,0,0,748,1.448648649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.933333333,1.0,1.0,0.897297297,0.047263682,0.02238806,0,0.0,0.930348259,0.892485967,0.005075808,0.483350749,0.713930348,0.286069652,0.30721393,0.09079602,0.114427861,0.114427861,0.087064677,0.116915423,0.169154229
7,https://www.washingtonpost.com,https://www.washingtonpost.com/local/they-say-they-arrived-in-the-us-illegally-now-theyre-working-on-trumps-dc-hotel/2015/07/06/9a785116-20ec-11e5-84d5-eb37ee8eaa61_story.html,Reliable ,270,624,584,120,40678.36667,176,94,18,24,30,51,53,64,30,151.2206939,13209.42206,1,0,0,0,269,1.285714286,0.333333333,0.275618375,0.29689883100000003,0.266666667,0.304195804,0.408695652,0.072874494,0.328767123,0.326086957,0.554347826,0.706666667,0.6808510640000001,0.220588235,0.571428571,0.003703704,0.0,0,0.0,0.996296296,1.0,0.018870638,0.9532946,0.6518518520000001,0.348148148,0.066666667,0.088888889,0.111111111,0.188888889,0.196296296,0.237037037,0.111111111
8,https://minnesota.cbslocal.com,http://minnesota.cbslocal.com/2016/07/09/philando-stops/,Reliable ,233,353,322,90,18922.08333,188,45,28,2,76,7,75,18,27,81.56070402,7062.090589,1,0,0,0,232,1.044843049,0.287141074,0.155918728,0.163701068,0.2,0.325174825,0.195652174,0.113360324,0.02739726,0.826086957,0.076086957,1.0,0.191489362,0.198529412,0.089686099,0.004291845,0.0,0,0.0,0.995708155,0.46450883,0.009805307,0.5093980810000001,0.806866953,0.193133047,0.120171674,0.008583691,0.326180258,0.030042918,0.321888412,0.077253219,0.115879828
9,https://www.motherjones.com,https://www.motherjones.com/politics/2012/09/secret-video-romney-private-fundraiser/,Reliable ,110,600,1149,98,16563.966669999998,88,22,9,11,23,2,43,12,10,151.9629969,8510.033486,1,0,0,0,109,1.25,0.133583021,0.265017668,0.5841382820000001,0.217777778,0.15034965,0.095652174,0.036437247,0.150684932,0.25,0.02173913,0.573333333,0.127659574,0.073529412,0.5,0.009090909,0.0,0,0.0,0.990909091,0.406468096,0.018967239,0.613953499,0.8,0.2,0.081818182,0.1,0.209090909,0.018181818,0.390909091,0.109090909,0.090909091
